A1	25.15502,121.68507
A2	25.15493,121.68508
B1	25.15503,121.68521
B2	25.15495,121.68522
C1	25.15504,121.68538
C2	25.15495,121.68536
D1	25.15483,121.68539
D2	25.15485,121.68554
D3	25.15485,121.68572
E1	25.15472,121.6854
E2	25.15475,121.68555
E3	25.15476,121.68574
F1	25.15464,121.6854
F2	25.15466,121.68556
F3	25.15466,121.68573
G1	25.15511,121.68597
G2	25.155,121.68598
H1	25.15512,121.68621
H2	25.15501,121.68621
I	25.15488,121.68622
J	25.15477,121.68623
K	25.15465,121.68623
L1	25.15475,121.68598
L2	25.15466,121.68598
M	25.15502, 121.68492
N	25.15509, 121.68635
O	25.15456, 121.68558

(25.15502,121.6851,1): 0000803f-0000-7b3d-c941-0000c15ef342
(25.15493,121.6851,1): 0000803f-0000-4c3d-c941-0000c35ef342
(25.15503,121.6852,1): 0000803f-0000-803d-c941-0000d45ef342
(25.15495,121.6852,1): 0000803f-0000-563d-c941-0000d55ef342
(25.15504,121.6854,1): 0000803f-0000-863d-c941-0000ea5ef342
(25.15495,121.6854,1): 0000803f-0000-563d-c941-0000e85ef342
(25.15483,121.6854,1): 0000803f-0000-183d-c941-0000eb5ef342
(25.15485,121.6855,1): 0000803f-0000-223d-c941-0000ff5ef342
(25.15485,121.6857,1): 0000803f-0000-223d-c941-0000175ff342
(25.15472,121.6854,1): 0000803f-0000-de3c-c941-0000ed5ef342
(25.15475,121.6855,1): 0000803f-0000-ee3c-c941-0000005ff342
(25.15476,121.6857,1): 0000803f-0000-f33c-c941-0000195ff342
(25.15464,121.6854,1): 0000803f-0000-b43c-c941-0000ed5ef342
(25.15466,121.6856,1): 0000803f-0000-be3c-c941-0000025ff342
(25.15466,121.6857,1): 0000803f-0000-be3c-c941-0000185ff342
(25.15511,121.686,1): 0000803f-0000-aa3d-c941-0000375ff342
(25.155,121.686,1): 0000803f-0000-713d-c941-0000395ff342
(25.15512,121.6862,1): 0000803f-0000-b03d-c941-0000575ff342
(25.15501,121.6862,1): 0000803f-0000-763d-c941-0000575ff342
(25.15488,121.6862,1): 0000803f-0000-323d-c941-0000585ff342
(25.15477,121.6862,1): 0000803f-0000-f83c-c941-00005a5ff342
(25.15465,121.6862,1): 0000803f-0000-b93c-c941-00005a5ff342
(25.15475,121.686,1): 0000803f-0000-ee3c-c941-0000395ff342
(25.15466,121.686,1): 0000803f-0000-be3c-c941-0000395ff342
(25.15502,121.6849,0): 00000000-0000-7b3d-c941-0000ae5ef342
(25.15509,121.6863,0): 00000000-0000-a03d-c941-0000695ff342
(25.15456,121.6856,0): 00000000-0000-8a3c-c941-0000045ff342

(25.15502,121.6851,2): 00000040-0000-7b3d-c941-0000c15ef342
(25.15493,121.6851,2): 00000040-0000-4c3d-c941-0000c35ef342
(25.15503,121.6852,2): 00000040-0000-803d-c941-0000d45ef342
(25.15495,121.6852,2): 00000040-0000-563d-c941-0000d55ef342
(25.15504,121.6854,2): 00000040-0000-863d-c941-0000ea5ef342
(25.15495,121.6854,2): 00000040-0000-563d-c941-0000e85ef342
(25.15483,121.6854,2): 00000040-0000-183d-c941-0000eb5ef342
(25.15485,121.6855,2): 00000040-0000-223d-c941-0000ff5ef342
(25.15485,121.6857,2): 00000040-0000-223d-c941-0000175ff342
(25.15472,121.6854,2): 00000040-0000-de3c-c941-0000ed5ef342
(25.15475,121.6855,2): 00000040-0000-ee3c-c941-0000005ff342
(25.15476,121.6857,2): 00000040-0000-f33c-c941-0000195ff342
(25.15464,121.6854,2): 00000040-0000-b43c-c941-0000ed5ef342
(25.15466,121.6856,2): 00000040-0000-be3c-c941-0000025ff342
(25.15466,121.6857,2): 00000040-0000-be3c-c941-0000185ff342
(25.15511,121.686,2): 00000040-0000-aa3d-c941-0000375ff342
(25.155,121.686,2): 00000040-0000-713d-c941-0000395ff342
(25.15512,121.6862,2): 00000040-0000-b03d-c941-0000575ff342
(25.15501,121.6862,2): 00000040-0000-763d-c941-0000575ff342
(25.15488,121.6862,2): 00000040-0000-323d-c941-0000585ff342
(25.15477,121.6862,2): 00000040-0000-f83c-c941-00005a5ff342
(25.15465,121.6862,2): 00000040-0000-b93c-c941-00005a5ff342
(25.15475,121.686,2): 00000040-0000-ee3c-c941-0000395ff342
(25.15466,121.686,2): 00000040-0000-be3c-c941-0000395ff342

